date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:09:15	30680/30680	---M--	200	added ('OK')	font/woff	date:Sun,%2027%20Mar%202022%2016:33:53%20GMT	https://tl-centre.ge//fonts/bpg_nino_medium_caps-webfont.woff	C:/My%20Web%20Sites/tl-center/tl-centre.ge/fonts/bpg_nino_medium_caps-webfont.woff	(from https://tl-centre.ge/css/geo.css?v=1677845353)
16:09:16	244/244	---M-Z	404	error ('Not%20Found')	text/html	date:Sun,%2027%20Mar%202022%2016:34:55%20GMT	https://tl-centre.ge/fonts/markgeoregular.woff2	C:/My%20Web%20Sites/tl-center/tl-centre.ge/fonts/markgeoregular.woff2	(from https://tl-centre.ge/css/geo.css?v=1677845353)
16:09:16	1648120/1648120	---M-Z	200	added ('OK')	font/ttf	date:Sun,%2027%20Mar%202022%2016:33:54%20GMT	https://tl-centre.ge//fonts/calibri%20regular.ttf	C:/My%20Web%20Sites/tl-center/tl-centre.ge/fonts/calibri%20regular.ttf	(from https://tl-centre.ge/css/geo.css?v=1677845353)
16:09:16	108732/108732	---M-Z	200	added ('OK')	font/ttf	date:Wed,%2031%20Aug%202022%2022:01:26%20GMT	https://tl-centre.ge/fonts/TBCContracticaCAPS-Bold.ttf	C:/My%20Web%20Sites/tl-center/tl-centre.ge/fonts/TBCContracticaCAPS-Bold.ttf	(from https://tl-centre.ge/css/geo.css?v=1677845353)
16:09:16	244/244	---M-Z	404	error ('Not%20Found')	text/html	date:Sun,%2027%20Mar%202022%2016:34:55%20GMT	https://tl-centre.ge/c	C:/My%20Web%20Sites/tl-center/tl-centre.ge/c	(from https://connect.facebook.net/en_US/fbevents.js)
16:09:16	244/244	---M-Z	404	error ('Not%20Found')	text/html	date:Sun,%2027%20Mar%202022%2016:34:55%20GMT	https://tl-centre.ge/b	C:/My%20Web%20Sites/tl-center/tl-centre.ge/b	(from https://connect.facebook.net/en_US/fbevents.js)
16:09:17	244/244	---M-Z	404	error ('Not%20Found')	text/html	date:Sun,%2027%20Mar%202022%2016:34:55%20GMT	https://tl-centre.ge/POST	C:/My%20Web%20Sites/tl-center/tl-centre.ge/POST	(from https://connect.facebook.net/en_US/fbevents.js)
16:09:17	405063/405063	---M--	200	added ('OK')	image/jpeg	date:Sun,%2027%20Mar%202022%2016:33:55%20GMT	https://tl-centre.ge/img/3f4.jpg	C:/My%20Web%20Sites/tl-center/tl-centre.ge/img/3f4.jpg	(from https://tl-centre.ge/css/main.css?v=1677845353)
16:09:17	247662/247662	---M--	200	added ('OK')	image/jpeg	date:Sun,%2027%20Mar%202022%2016:33:56%20GMT	https://tl-centre.ge/img/baner/Course_booking_image.jpg	C:/My%20Web%20Sites/tl-center/tl-centre.ge/img/baner/Course_booking_image.jpg	(from https://tl-centre.ge/css/main.css?v=1677845353)
16:09:18	238062/238062	---M--	200	added ('OK')	image/jpeg	date:Sun,%2027%20Mar%202022%2016:34:01%20GMT	https://tl-centre.ge/img/hero.jpg	C:/My%20Web%20Sites/tl-center/tl-centre.ge/img/hero.jpg	(from https://tl-centre.ge/css/main.css?v=1677845353)
16:09:18	385314/385314	---M--	200	added ('OK')	image/jpeg	date:Wed,%2031%20Aug%202022%2021:26:36%20GMT	https://tl-centre.ge/img/home_image.jpg	C:/My%20Web%20Sites/tl-center/tl-centre.ge/img/home_image.jpg	(from https://tl-centre.ge/css/main.css?v=1677845353)
16:09:18	3038/3038	---M--	200	added ('OK')	image/png	date:Wed,%2031%20Aug%202022%2023:19:04%20GMT	https://tl-centre.ge/img/icons/awea.png	C:/My%20Web%20Sites/tl-center/tl-centre.ge/img/icons/awea.png	(from https://tl-centre.ge/css/main.css?v=1677845353)
16:09:18	311851/311851	---M--	200	added ('OK')	image/jpeg	date:Sun,%2027%20Mar%202022%2016:33:58%20GMT	https://tl-centre.ge/img/courses/1629750924.jpg	C:/My%20Web%20Sites/tl-center/tl-centre.ge/img/courses/1629750924.jpg	(from https://tl-centre.ge/Courses/%e1%83%92%e1%83%94%e1%83%a0%e1%83%9b%e1%83%90%e1%83%9c%e1%83%a3%e1%83%9a%e1%83%98-%e1%83%94%e1%83%9c%e1%83%90-%e1%83%96%e1%83%a0%e1%83%93%e1%83%90%e1%83%a1%e1%83%a0%e1%83%a3%e1%83%9a%e1%83%97%e1%83%90%e1%83%97%e1%83%95%e1%83%98%e1%83%a1/)
16:09:19	244/244	---M-Z	404	error ('Not%20Found')	text/html	date:Sun,%2027%20Mar%202022%2016:34:55%20GMT	https://tl-centre.ge/tl-centre/Courses/%e1%83%92%e1%83%94%e1%83%a0%e1%83%9b%e1%83%90%e1%83%9c%e1%83%a3%e1%83%9a%e1%83%98-%e1%83%94%e1%83%9c%e1%83%90-%e1%83%96%e1%83%a0%e1%83%93%e1%83%90%e1%83%a1%e1%83%a0%e1%83%a3%e1%83%9a%e1%83%97%e1%83%90%e1%83%97%e1%83%95%e1%83%98%e1%83%a1/	C:/My%20Web%20Sites/tl-center/tl-centre.ge/tl-centre/Courses/%e1%83%92%e1%83%94%e1%83%a0%e1%83%9b%e1%83%90%e1%83%9c%e1%83%a3%e1%83%9a%e1%83%98-%e1%83%94%e1%83%9c%e1%83%90-%e1%83%96%e1%83%a0%e1%83%93%e1%83%90%e1%83%a1%e1%83%a0%e1%83%a3%e1%83%9a%e1%83%97%e1%83%90%e1%83%97%e1%83%95%e1%83%98%e1%83%a1/index.html	(from https://tl-centre.ge/Courses/%e1%83%92%e1%83%94%e1%83%a0%e1%83%9b%e1%83%90%e1%83%9c%e1%83%a3%e1%83%9a%e1%83%98-%e1%83%94%e1%83%9c%e1%83%90-%e1%83%96%e1%83%a0%e1%83%93%e1%83%90%e1%83%a1%e1%83%a0%e1%83%a3%e1%83%9a%e1%83%97%e1%83%90%e1%83%97%e1%83%95%e1%83%98%e1%83%a1/)
